X,Y,Z
2.33327,3.88833,14.4357
2.48878,4.16594,14.1414
2.6565,4.46919,13.868
2.83776,4.79991,13.6169
3.03398,5.16007,13.39
3.24659,5.55173,13.1895
3.4771,5.97705,13.018
3.7271,6.43822,12.8787
3.99821,6.93742,12.7752
4.29213,7.47676,12.7119
4.61059,8.05818,12.6939
4.95535,8.6833,12.7269
5.32815,9.35331,12.8178
5.73066,10.0687,12.9743
6.16447,10.8291,13.2054
6.63093,11.6328,13.5208
7.13112,12.4766,13.9316
7.66566,13.3551,14.4498
8.2346,14.2602,15.0882
8.83716,15.1808,15.8601
9.47153,16.1019,16.7788
10.1346,17.0037,17.8564
10.8215,17.8616,19.1035
11.5255,18.6457,20.527
12.2375,19.3206,22.1286
12.9458,19.8459,23.9029
13.6358,20.1779,25.8347
14.29,20.2713,27.8972
14.8882,20.0833,30.05
15.4077,19.5773,32.2387
15.8246,18.7284,34.3954
16.115,17.5291,36.4419
16.2564,15.9934,38.2949
16.2301,14.1599,39.8737
16.0231,12.0911,41.1086
15.6299,9.86983,41.9497
15.0539,7.59081,42.3737
14.3076,5.3511,42.3864
13.4119,3.23924,42.0217
12.3947,1.32626,41.3356
11.2878,-0.339904,40.3977
10.1251,-1.73594,39.2821
8.93895,-2.86089,38.0588
7.75897,-3.73143,36.7881
6.60993,-4.37599,35.5176
5.51134,-4.82914,34.2812
4.47729,-5.12703,33.1009
3.51686,-5.30414,31.9887
2.63476,-5.39137,30.9491
1.83214,-5.41516,29.9817
1.10741,-5.39732,29.083
0.456941,-5.35534,28.2477
-0.124286,-5.30291,27.47
-0.642149,-5.25054,26.744
-1.10299,-5.2061,26.0646
-1.5133,-5.17539,25.4269
-1.87951,-5.16258,24.8272
-2.20782,-5.17058,24.2622
-2.50409,-5.2014,23.7293
-2.77382,-5.25633,23.2268
-3.02207,-5.33617,22.7532
-3.25348,-5.44137,22.3077
-3.47227,-5.57215,21.8899
-3.68226,-5.72859,21.4996
-3.88689,-5.91066,21.1373
-4.08927,-6.1183,20.8033
-4.29217,-6.35141,20.4988
-4.4981,-6.60986,20.2248
-4.70927,-6.8935,19.9827
-4.9277,-7.20212,19.7745
-5.15514,-7.53543,19.6021
-5.39317,-7.893,19.4678
-5.64315,-8.27422,19.3744
-5.90626,-8.67824,19.3246
-6.18346,-9.10385,19.3219
-6.4755,-9.54942,19.3696
-6.78289,-10.0128,19.4714
-7.10588,-10.4911,19.6313
-7.4444,-10.9809,19.8533
-7.79805,-11.4776,20.1414
-8.166,-11.9756,20.4993
-8.54696,-12.4684,20.9306
-8.9391,-12.9479,21.4381
-9.33998,-13.405,22.0238
-9.74649,-13.8291,22.6885
-10.1547,-14.2085,23.4314
-10.5601,-14.5304,24.2494
-10.9571,-14.7811,25.1371
-11.3395,-14.947,26.0864
-11.7003,-15.0145,27.0857
-12.0317,-14.9714,28.1202
-12.3257,-14.8072,29.1716
-12.5738,-14.5147,30.2188
-12.7679,-14.0906,31.238
-12.9002,-13.5362,32.2041
-12.9638,-12.8586,33.0915
-12.9533,-12.0699,33.876
-12.8649,-11.1881,34.5361
-12.6972,-10.2353,35.0545
-12.4511,-9.23727,35.4193
-12.1297,-8.22112,35.6249
-11.7388,-7.21403,35.6721
-11.2863,-6.24127,35.5677
-10.7818,-5.32475,35.3236
-10.2361,-4.48188,34.9558
-9.6607,-3.72506,34.4824
-9.06714,-3.06156,33.9227
-8.46658,-2.49392,33.2957
-7.86931,-2.02062,32.619
-7.28444,-1.63693,31.9081
-6.71969,-1.33588,31.1765
-6.18131,-1.10907,30.4349
-5.67409,-0.947466,29.6919
-5.20142,-0.841994,28.9538
-4.76548,-0.783962,28.2255
-4.36733,-0.765375,27.5102
-4.00713,-0.779112,26.81
-3.68433,-0.819005,26.1263
-3.3978,-0.879848,25.4598
-3.146,-0.95736,24.8108
-2.92714,-1.04812,24.1793
-2.73924,-1.14948,23.5652
-2.58026,-1.25946,22.9682
-2.44818,-1.3767,22.3882
-2.34103,-1.50032,21.8249
-2.25696,-1.62988,21.2781
-2.19425,-1.76529,20.7474
-2.15136,-1.90678,20.2329
-2.1269,-2.05481,19.7344
-2.11969,-2.21006,19.2518
-2.12873,-2.3734,18.7853
-2.1532,-2.54582,18.3349
-2.19246,-2.72847,17.9008
-2.24606,-2.92261,17.4832
-2.31371,-3.12959,17.0827
-2.3953,-3.35089,16.6995
-2.49086,-3.58806,16.3345
-2.60058,-3.84276,15.9883
-2.7248,-4.1167,15.6618
-2.86399,-4.41173,15.3564
-3.01876,-4.72972,15.0732
-3.18986,-5.07265,14.814
-3.37814,-5.44254,14.5808
-3.58458,-5.84144,14.3758
-3.81026,-6.27139,14.2019
-4.05638,-6.73442,14.0621
-4.32418,-7.23245,13.9603
-4.61501,-7.76723,13.9008
-4.93023,-8.34024,13.8885
-5.27123,-8.95256,13.9294
-5.63936,-9.60473,14.0298
-6.0359,-10.2965,14.1973
-6.46196,-11.0267,14.4402
-6.91843,-11.7926,14.7677
-7.40585,-12.5902,15.1898
-7.92428,-13.413,15.7171
-8.47315,-14.2522,16.3609
-9.05105,-15.0958,17.1322
-9.65553,-15.9285,18.0417
-10.2828,-16.7308,19.0985
-10.9276,-17.4788,20.3096
-11.5827,-18.1444,21.6781
-12.2389,-18.6952,23.2016
-12.8845,-19.0955,24.871
-13.5056,-19.3077,26.6681
-14.0858,-19.2945,28.5646
-14.6067,-19.022,30.5207
-15.0482,-18.4636,32.4853
-15.3898,-17.604,34.3975
-15.6112,-16.4434,36.1894
-15.6944,-15.0005,37.7914
-15.625,-13.3138,39.1379
-15.3939,-11.4404,40.1745
-14.9986,-9.45186,40.8643
-14.4439,-7.42788,41.1922
-13.7423,-5.44813,41.1666
-12.9129,-3.58425,40.8176
-11.98,-1.89329,40.1919
-10.9713,-0.413762,39.347
-9.91559,0.83529,38.3431
-8.8405,1.85252,37.2378
-7.7712,2.65066,36.081
-6.72901,3.25214,34.9129
-5.7309,3.68479,33.763
-4.78933,3.97821,32.6515
-3.91257,4.16121,31.5903
-3.1052,4.26007,30.585
-2.36867,4.29774,29.6372
-1.70203,4.29354,28.745
-1.10247,4.26328,27.9054
-0.565896,4.21961,27.1143
-0.0873457,4.1724,26.3674
0.338629,4.12925,25.6606
0.717691,4.09588,24.9903
1.05551,4.07652,24.3533
1.35761,4.07425,23.7469
1.62927,4.09125,23.1689
1.87547,4.12904,22.6178
2.10083,4.1887,22.0921
2.30962,4.27093,21.5909
2.50575,4.37624,21.1138
2.6928,4.50503,20.6604
2.87402,4.65762,20.2308
3.05238,4.83433,19.8252
3.23057,5.03551,19.4441
3.41107,5.26156,19.0882
3.59612,5.51293,18.7587
3.7878,5.79013,18.4567
3.98803,6.09371,18.1839
4.1986,6.42425,17.942
4.42117,6.7823,17.7332
4.65728,7.16839,17.5602
4.90839,7.58291,17.4258
5.17584,8.02611,17.3333
5.46087,8.49794,17.2865
5.76458,8.99801,17.2896
6.08792,9.52544,17.3472
6.43167,10.0787,17.4645
6.79638,10.6555,17.647
7.18229,11.2526,17.9007
7.58932,11.8654,18.2315
8.01694,12.4882,18.6458
8.46406,13.1132,19.1498
8.92897,13.7311,19.749
9.40919,14.3306,20.4484
9.90133,14.8978,21.2515
10.401,15.417,22.1599
10.9026,15.8703,23.1725
11.3993,16.2379,24.2848
11.8832,16.499,25.4882
12.3448,16.6325,26.7692
12.7736,16.6181,28.1086
13.158,16.4381,29.4817
13.486,16.0787,30.8585
13.7453,15.5324,32.204
13.924,14.7993,33.4802
14.0115,13.8882,34.648
13.9992,12.8179,35.67
13.8811,11.6159,36.5132
13.6545,10.318,37.1519
13.3209,8.96521,37.5701
12.8853,7.60074,37.7625
12.3569,6.2668,37.7349
11.7479,5.00121,37.503
11.0732,3.8348,37.0904
10.3494,2.78985,36.526
9.59341,1.87956,35.8407
8.82202,1.10858,35.0653
8.05068,0.474195,34.228
7.29303,-0.0319423,33.3534
6.56053,-0.422049,32.4617
5.86227,-0.710537,31.5683
5.20499,-0.912617,30.6849
4.59323,-1.04324,29.8191
4.02959,-1.11636,28.976
3.51499,-1.14452,28.1583
3.04904,-1.13864,27.3672
2.63027,-1.10796,26.6027
2.25645,-1.06013,25.8641
1.92479,-1.00133,25.1505
1.63218,-0.936474,24.4606
1.37531,-0.86934,23.793
1.15085,-0.802787,23.1466
0.955484,-0.738903,22.5201
0.786045,-0.679154,21.9125
0.639525,-0.624512,21.3228
0.513121,-0.575565,20.7502
0.404253,-0.532609,20.1939
0.310567,-0.495726,19.6533
0.229937,-0.464847,19.1276
0.160459,-0.439797,18.6165
0.100433,-0.420343,18.1193
0.0483557,-0.406216,17.6357
0.00289853,-0.397142,17.1653
-0.0371055,-0.392857,16.7075
-0.0726806,-0.393118,16.2621
-0.104724,-0.397718,15.8287
-0.134024,-0.406487,15.4071
-0.16127,-0.4193,14.9968
-0.187073,-0.436077,14.5975
-0.211973,-0.456789,14.2091
-0.236455,-0.481454,13.8311
-0.260955,-0.510143,13.4634
